sample_ID,Bacteria;Abditibacteriota;Abditibacteria,Bacteria;Acidobacteriota;Aminicenantia,Bacteria;Acidobacteriota;Blastocatellia,Bacteria;Acidobacteriota;Subgroup 19,Bacteria;Acidobacteriota;Vicinamibacteria,Bacteria;Actinobacteriota;Acidimicrobiia,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Actinobacteriota;Thermoleophilia,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Bdellovibrionota;Bdellovibrionia,Bacteria;Bdellovibrionota;Oligoflexia,Bacteria;Campilobacterota;Campylobacteria,Bacteria;Chloroflexi;Anaerolineae,Bacteria;Chloroflexi;Chloroflexia,Bacteria;Cyanobacteria;Cyanobacteriia,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Dependentiae;Babeliae,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Desulfobacterota;Desulfuromonadia,Bacteria;Desulfobacterota;Syntrophia,Bacteria;Elusimicrobiota;Elusimicrobia,Bacteria;Elusimicrobiota;Lineage IIa,Bacteria;Fibrobacterota;Fibrobacteria,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Firmicutes;Incertae Sedis,Bacteria;Firmicutes;Limnochordia,Bacteria;Firmicutes;Moorellia,Bacteria;Firmicutes;Negativicutes,Bacteria;Firmicutes;Syntrophomonadia,Bacteria;Firmicutes;uncultured,Bacteria;Fusobacteriota;Fusobacteriia,Bacteria;Myxococcota;Polyangia,Bacteria;Myxococcota;bacteriap25,Bacteria;Nitrospirota;Nitrospiria,Bacteria;Patescibacteria;Gracilibacteria,Bacteria;Patescibacteria;Parcubacteria,Bacteria;Patescibacteria;Saccharimonadia,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Spirochaetota;Brachyspirae,Bacteria;Spirochaetota;Spirochaetia,Bacteria;Synergistota;Synergistia,Bacteria;Verrucomicrobiota;Lentisphaeria,Bacteria;Verrucomicrobiota;Verrucomicrobiae,label
H27390,0,0,0,0,0,0,2,169,0,9195,0,0,0,0,0,0,0,0,293,0,0,0,0,0,5283,9874,0,0,0,290,0,0,0,0,0,0,0,0,2,0,161,0,0,0,0,1,0
H25748,0,0,0,0,0,0,17,400,0,3226,0,0,0,0,0,0,204,0,5,0,0,0,0,0,326,10082,0,0,0,8370,0,0,0,0,0,0,0,0,2,16,1949,0,0,0,0,0,0
H27149,0,0,0,0,0,0,2,180,0,16566,0,0,3,0,0,0,2,0,25,0,0,0,0,0,752,9008,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,4050,0,0,0,0,0,0
H27142,0,0,0,0,0,0,0,10,0,14443,0,0,0,0,0,0,0,0,325,0,0,0,0,0,533,8039,0,0,0,10,0,0,0,0,0,0,0,0,0,3,7611,0,0,0,0,0,1
H25995,0,0,0,0,0,0,57,288,0,6870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8065,22065,0,0,0,363,0,0,0,0,0,0,0,0,30,0,2105,0,0,0,0,0,0
H26762,0,0,0,0,0,0,9,81,0,4432,0,0,0,0,0,0,42,0,4,0,0,0,0,0,854,10709,0,0,0,6323,0,3,2,0,0,0,0,0,0,0,80,0,0,0,0,0,1
H25770,0,0,0,0,0,0,7,326,0,4332,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1165,5937,1,0,0,2397,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,2,0
H31032,0,0,0,0,0,1,8,53,0,15611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,5623,0,0,0,383,0,0,0,0,0,0,0,0,1,0,10319,0,0,0,0,0,1
H25916,0,0,0,0,0,0,0,244,0,21041,0,0,0,0,0,0,0,0,234,0,0,0,0,0,310,7013,0,0,0,4243,0,0,2,0,0,0,0,0,0,0,1640,0,0,0,0,0,0
H18264,0,0,0,0,0,0,2,54,0,8032,0,0,0,0,0,0,955,0,18,0,0,0,0,0,1766,7310,6,2,0,1048,0,6,0,0,0,0,0,0,0,2,43,0,0,0,0,0,1
H26846,0,0,0,0,0,0,3,13,0,6661,0,0,0,0,0,0,4,0,65,0,0,0,0,0,92,2658,3,0,0,466,0,0,0,0,0,0,0,0,0,0,5854,0,0,0,0,0,0
H30916,0,0,0,0,0,0,11,1016,0,9211,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1121,6123,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3659,5377,0,0,0,0,0
H28020,0,0,0,0,0,0,2,50,0,10653,0,0,0,0,0,0,140,0,230,0,0,0,0,0,503,8309,0,0,0,1999,0,0,0,0,0,0,0,0,2,4,13109,0,0,0,0,0,0
H18373,0,0,0,0,0,0,1,51,0,8040,0,0,0,0,0,0,0,0,25,0,0,0,0,0,327,5263,0,2,0,1225,0,0,0,0,0,0,0,0,1,0,703,0,0,0,0,1,0
H27144,0,0,0,0,0,0,16,59,0,10710,0,0,0,0,0,0,0,0,3,0,0,0,0,0,459,7583,0,0,0,4377,0,0,0,0,0,0,0,0,0,0,9226,0,0,0,0,0,0
H18262,0,0,0,0,0,0,6,707,0,13058,0,0,0,0,0,0,0,0,32,0,0,0,0,0,330,8849,0,0,0,184,0,0,0,0,0,0,0,0,1,0,329,0,0,0,0,0,0
H18360,0,0,0,0,0,0,7,49,0,6180,0,0,0,0,0,0,13,0,222,0,0,0,0,0,482,2738,1,0,0,627,0,0,0,0,0,0,0,0,1,0,208,0,0,0,0,0,0
H26800,0,0,0,0,0,0,2,33,0,4583,0,0,0,0,0,0,5,0,35,0,0,0,0,0,1708,5194,0,0,0,15,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,1,0
H18175,0,0,0,0,0,0,22,991,0,5479,0,0,0,0,0,0,1,0,393,0,0,0,0,0,788,7401,0,0,0,56,0,0,0,0,0,0,0,0,3,0,1675,0,0,0,0,0,1
H27273,0,0,0,0,0,0,2,49,0,10600,0,0,0,0,0,0,81,0,84,0,0,0,0,0,440,12090,0,0,0,5380,0,0,0,0,0,0,0,0,0,0,513,0,1,0,0,0,0
H27176,0,0,0,0,0,0,1,281,0,16540,0,0,0,0,0,0,0,0,63,0,0,0,0,0,389,5712,0,0,0,582,0,0,0,0,0,0,0,0,0,0,1953,0,0,0,0,0,0
H26095,0,0,0,0,0,0,25,282,0,6284,0,0,0,0,0,0,0,0,294,0,0,0,0,0,454,4166,0,1,0,434,0,0,0,0,0,0,0,0,3,0,131,0,0,3,0,0,1
H26886,0,0,0,0,0,0,14,6,0,7643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2329,0,0,0,634,0,0,5,0,0,0,0,0,0,4,864,0,0,0,0,0,0
H18334,0,0,0,0,0,0,5,8,0,5211,0,0,0,0,0,0,2,0,311,0,0,0,0,0,227,4352,0,0,0,134,0,0,1,0,0,0,0,0,1,0,2668,0,0,0,0,0,0
H27370,0,0,0,0,0,0,14,460,0,3616,0,0,0,0,0,0,73,0,35,0,0,0,0,0,1256,16738,0,0,0,4536,0,0,0,2,0,0,0,0,0,0,2339,0,0,0,0,0,0
H18174,0,0,0,0,0,0,14,23,0,7757,0,0,0,0,0,0,0,0,166,0,0,0,0,0,325,4515,0,1,0,5348,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0
H28997,0,0,0,0,0,0,12,449,0,3389,0,0,1,0,0,0,19,0,14,0,0,0,0,0,1411,17943,15,0,0,21,0,0,0,0,0,0,0,0,5,2,302,0,0,0,0,0,1
H25881,0,0,0,0,0,0,14,229,0,6473,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1021,14271,0,0,0,600,0,0,1,0,0,0,0,0,5,3,287,0,0,0,0,0,0
H27272,0,0,0,0,0,0,0,21,0,7579,0,0,0,0,0,0,0,0,6,0,0,0,0,0,167,16466,0,0,0,98,0,0,0,0,0,0,0,0,0,0,3464,0,0,0,0,0,1
H26875,0,0,0,0,0,0,121,208,0,5513,0,0,4,0,0,0,0,0,1,0,0,0,0,0,230,3194,0,0,0,25,0,2,0,0,0,0,0,0,0,0,6092,0,0,0,0,0,0
H18188,0,0,0,0,0,0,5,44,0,3725,0,0,0,0,0,0,0,0,28,0,0,0,0,0,66,5073,1,0,0,825,0,0,0,0,0,0,0,0,0,4,576,0,0,0,0,2,0
H18328,0,0,0,0,0,0,3,28,0,7132,0,0,0,0,0,0,20,0,0,0,0,0,0,0,43,2925,7,0,0,579,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0
H26603,0,0,0,0,0,0,3,223,0,3162,0,0,0,0,0,0,0,0,9,0,0,0,0,0,25,3527,0,0,0,48,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0
H28010,0,0,0,0,0,0,11,1107,0,5389,0,4,9,0,0,0,0,0,4,0,0,0,0,0,2677,17453,0,0,0,524,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,1
H27117,0,0,0,0,0,0,8,625,0,4122,0,0,0,0,0,0,0,0,2,0,0,0,0,0,561,18102,0,1,0,367,0,0,4,0,0,0,0,0,0,0,1219,0,0,0,0,0,0
H25838,0,0,0,0,0,0,1,1,0,14774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2490,0,0,0,287,0,0,0,0,0,0,0,0,0,0,5730,0,0,0,0,0,0
H25866,0,0,0,0,0,0,3,269,0,5683,0,0,0,0,0,0,4,0,141,0,0,0,0,0,1548,8347,15,1,0,1165,0,1,0,0,0,0,0,0,3,0,7793,0,0,0,8,1,1
H27224,0,0,0,0,0,0,6,19,0,10396,0,0,0,0,0,0,0,0,11,0,0,0,0,0,340,13313,0,0,0,1780,0,0,30,0,0,0,0,0,0,0,4954,0,0,0,0,0,1
H27244,0,0,0,0,0,0,16,103,0,6285,0,0,0,0,0,0,25,0,31,0,0,0,0,0,1091,8872,0,0,0,607,0,0,0,0,0,0,0,0,0,1,74,0,0,0,0,0,0
H26079,0,0,0,0,0,0,3,144,0,6648,0,0,0,0,0,0,66,0,19,0,0,0,0,0,648,4992,9,0,0,55,0,0,0,0,0,0,0,0,0,3,249,0,0,0,0,0,1
H21545,0,0,0,0,0,0,18,113,0,8433,0,0,0,0,0,0,507,0,80,0,0,0,0,0,270,5387,0,0,0,282,0,0,0,0,0,0,0,0,4,1,435,0,0,0,0,0,0
H27382,0,0,0,0,0,0,3,616,0,4096,0,0,6,0,0,0,0,0,3,0,0,0,0,0,137,4105,0,0,0,711,0,0,0,0,0,0,0,0,0,0,11750,0,0,0,0,0,1
H26087,0,0,0,0,0,0,9,23,0,3522,0,0,0,0,0,0,271,0,49,0,0,0,0,0,987,3943,0,0,0,1067,0,0,0,0,0,0,0,0,1,0,2882,0,0,0,0,0,0
H26755,0,0,0,0,0,0,15,20,0,6691,0,0,2,0,0,0,0,0,0,0,0,0,0,0,767,3840,0,0,0,2737,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,1
H21550,0,0,0,0,0,0,1,241,0,4429,0,0,0,0,0,0,8,0,15,0,0,0,0,0,322,7189,1,0,0,360,0,0,0,0,0,0,0,0,0,0,1301,0,0,0,0,2,0
H18306,0,0,0,0,0,0,17,653,0,10143,0,0,6,0,0,0,0,0,220,0,0,0,0,0,397,5314,0,0,0,72,0,0,0,0,0,0,0,0,0,0,937,0,0,0,0,0,1
H34165,0,0,0,0,0,0,10,188,0,3481,0,0,0,0,0,0,211,0,41,0,0,0,0,0,1933,3196,0,0,0,1952,0,0,0,0,0,0,0,0,0,0,6073,0,0,0,0,0,1
H25823,0,0,0,0,0,0,3,812,0,13081,0,0,2,0,0,0,0,0,15,0,0,0,0,0,260,10670,1,0,0,1118,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0
H27083,0,0,0,0,0,0,2,120,0,11539,0,0,0,0,0,0,97,0,21,0,0,0,0,0,490,12166,1,0,0,1755,0,0,1,0,0,0,0,0,2,0,701,0,0,0,0,0,0
H32826,0,0,0,0,0,0,20,840,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3138,6149,0,0,0,21,0,0,0,2,0,0,0,0,1,0,40,0,0,0,0,0,0
H27394,0,0,0,0,0,0,29,861,0,5439,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2001,12885,0,0,0,2807,0,0,0,0,0,0,0,0,4,0,219,0,0,0,0,0,0
H27150,0,0,0,0,0,0,0,6,0,11339,0,0,0,0,0,0,0,0,12,0,0,0,0,0,574,7957,0,0,0,43,0,0,0,0,0,0,0,0,0,6,1376,0,0,0,0,0,0
H32726,0,0,0,0,0,0,24,325,0,10197,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5211,6162,0,0,0,1299,0,0,1,0,0,0,0,0,0,0,15773,0,0,0,0,0,1
H26880,0,0,0,0,0,0,11,18,0,8853,0,0,0,0,0,0,0,0,73,0,0,0,0,0,161,10236,0,1,0,366,0,0,0,0,0,0,0,0,0,0,9112,0,0,0,0,0,0
H25976,0,0,0,0,0,0,14,137,0,6234,0,0,0,0,0,0,0,0,51,0,0,0,0,0,557,3425,0,0,0,112,0,0,0,0,0,0,0,0,18,0,8398,0,0,0,0,1,1
H27206,0,0,0,0,0,0,5,203,0,8224,0,0,0,0,0,0,0,0,25,0,0,0,0,0,84,4447,0,0,0,8066,0,0,0,0,0,0,0,0,5,0,6852,0,0,0,0,0,1
H25787,0,0,0,0,0,0,29,682,0,6211,0,0,0,0,0,0,0,0,71,0,0,0,0,0,320,6777,0,0,0,2229,0,0,0,1,0,0,0,0,3,0,1056,0,0,0,0,0,0
H27981,0,0,0,0,0,0,0,45,0,12361,0,1,0,0,0,0,0,0,79,0,0,0,0,0,51,1616,0,0,0,6718,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,1
H32770,0,0,0,0,0,0,9,56,0,3827,0,0,0,0,0,0,0,0,12,0,0,0,0,0,912,4780,0,0,0,602,0,0,2,0,0,0,0,0,0,0,6132,0,0,0,0,0,1
H25908,0,0,0,0,0,0,12,160,0,4633,0,0,2,0,0,0,33,0,314,0,0,0,0,0,567,6850,3,0,0,5075,0,0,0,0,0,0,0,0,0,0,9186,0,0,1,0,0,1
H25760,0,0,0,0,0,0,11,328,0,10622,0,0,0,0,0,0,1,0,17,0,0,0,0,0,1030,7333,0,0,0,160,0,0,0,0,0,0,0,0,2,2,4769,0,0,0,0,0,0
H26107,0,0,0,0,0,0,31,914,0,3618,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1853,9489,0,0,0,3266,0,0,0,0,0,0,0,0,0,0,1594,0,0,0,0,0,0
H27317,0,0,0,0,0,0,10,67,0,17011,0,0,0,0,0,0,0,0,7,0,0,0,0,0,196,6270,0,0,0,89,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
H31024,0,0,0,0,0,0,34,1186,0,20705,0,0,0,0,0,0,0,0,32,0,0,0,0,0,463,8590,0,0,0,2285,0,0,2,0,0,0,0,0,0,0,403,0,0,0,0,0,0
H27213,0,0,0,0,0,0,0,54,0,10267,0,0,0,0,0,0,33,0,429,0,0,0,0,0,173,6986,1,0,0,229,0,0,0,0,0,0,0,0,0,2,141,0,0,0,0,1,1
H21533,0,0,0,0,0,0,1,34,0,1889,0,0,0,0,0,0,24,0,59,0,0,0,0,0,630,3499,2,0,0,28,0,1,0,0,0,0,0,0,0,0,567,0,0,0,0,2,0
H26921,0,0,0,0,0,0,1,31,0,8430,0,0,0,0,0,0,0,0,65,0,0,0,0,0,131,3343,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,1
H26905,0,0,0,0,0,0,0,8,0,4238,0,0,0,0,0,0,0,0,13,0,0,0,0,0,536,3112,10,0,0,236,0,5,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,1
H25876,0,0,0,0,0,0,4,33,0,19425,0,0,0,0,0,0,1,0,86,0,0,0,0,0,241,8344,0,0,0,927,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,1
H26930,0,0,0,0,0,0,18,262,0,5614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,5298,0,0,0,2,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1
H26821,0,0,0,0,0,0,2,99,0,3532,0,0,0,0,0,0,17,0,1,0,0,0,0,0,466,5391,0,0,0,17,0,0,0,0,0,0,0,0,1,0,53,0,0,0,0,0,1
H25912,0,0,0,0,0,0,7,35,0,8093,0,0,0,0,0,0,54,0,0,0,0,0,0,0,113,4227,0,0,0,581,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
H27922,0,0,0,0,0,0,0,20,0,2880,0,0,0,0,0,0,19,0,0,0,0,1,0,0,57,4166,0,0,0,34,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1
H26059,0,0,0,0,0,0,16,581,0,3743,0,0,0,0,0,0,0,0,26,0,0,0,0,0,899,6505,0,0,0,1367,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,1,0
H29000,0,0,0,0,0,0,16,275,0,21200,0,0,0,0,0,0,9,0,270,0,0,0,0,0,142,11368,16,0,0,4151,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,1
H26591,0,0,0,0,0,0,0,1,0,3631,0,0,0,0,0,0,8,0,0,0,0,0,0,0,285,2893,0,0,0,6,0,0,0,0,0,0,0,0,0,8,1551,0,0,0,0,3,0
H27401,0,0,0,0,0,0,6,169,0,3421,0,0,0,0,0,0,21,0,11,0,0,0,0,0,1133,18476,0,0,0,412,0,0,0,0,0,0,0,0,12,2,157,0,0,0,0,0,0
H25918,0,0,0,0,0,0,3,6,0,5289,0,0,0,0,0,0,2,0,18,0,0,0,0,0,120,5704,0,0,0,1749,0,0,30,0,0,0,0,0,1,0,199,0,0,3,0,2,0
H26751,0,0,0,0,0,0,7,262,0,4537,0,0,0,0,0,0,0,0,3,0,0,0,0,0,488,4762,0,0,0,39,0,0,8,0,0,0,0,0,1,0,1943,0,0,0,0,0,1
H28043,0,0,0,0,0,0,0,848,0,16083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,16818,0,8,0,488,0,0,0,0,0,0,0,0,7,0,139,0,0,0,0,1,0
H27123,0,0,0,0,0,0,1,57,0,12587,0,0,0,0,0,0,0,0,25,0,0,0,0,0,2385,7300,0,0,0,1936,0,0,0,0,0,0,0,0,0,0,3468,0,0,0,0,0,0
H26017,0,0,0,0,0,0,15,208,0,9059,0,0,0,0,0,0,179,0,33,0,0,0,0,0,2949,18272,2,0,0,414,0,0,0,0,0,0,0,0,0,2,7993,0,0,0,0,0,1
H29001,0,0,0,0,0,0,51,1125,0,15674,0,0,0,0,0,0,0,0,47,0,0,0,0,0,925,17429,0,0,0,181,0,0,0,0,0,0,0,0,1,0,167,0,0,0,0,0,1
H18224,0,0,0,0,0,0,3,268,0,8572,0,0,0,0,0,0,87,0,3,0,0,0,0,0,1081,9039,1,0,0,229,0,0,0,0,0,0,0,0,10,0,56,0,0,0,0,0,0
H27116,0,0,0,0,0,0,5,57,0,11567,0,0,0,0,0,0,0,0,280,0,0,0,0,0,377,4458,0,0,0,7437,0,0,0,0,0,0,0,0,0,0,4010,0,0,0,0,0,0
H25949,0,0,0,0,0,0,37,1633,0,1699,0,3,0,0,0,0,0,0,49,0,0,0,0,0,1055,8629,0,0,0,7963,0,0,0,0,0,0,0,0,10,0,769,0,0,0,0,0,1
H18093,0,0,0,0,0,0,10,336,0,6872,0,0,0,0,0,0,1,0,61,0,0,0,0,0,185,2940,0,0,0,2696,0,0,3,0,0,0,0,0,0,0,1676,0,0,0,0,17,0
H18113,0,0,0,0,0,0,8,405,0,2514,0,0,1,0,0,0,0,0,247,0,0,0,0,0,760,6553,0,1,0,275,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,1
H30950,0,0,0,0,0,4,61,1124,0,1160,0,0,0,0,0,0,90,0,3,0,0,0,0,0,2317,16504,0,0,0,24,0,0,0,0,0,0,0,0,50,2,1890,0,0,0,0,0,0
H26771,0,0,0,0,0,0,2,80,0,1181,0,0,7,0,0,0,0,0,0,0,0,0,0,5,1508,7701,0,0,0,206,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1
H25856,0,0,0,0,0,0,9,58,0,11915,0,0,0,0,0,0,782,0,115,0,0,0,0,0,180,7587,0,0,0,2032,0,0,0,0,0,0,0,0,0,0,1662,0,0,0,0,0,1
H18223,0,1,0,0,0,0,13,63,0,6717,0,0,0,0,0,0,6,0,51,0,0,0,0,0,366,10706,1,2,0,7367,0,0,0,0,0,0,0,0,6,0,666,0,0,0,0,0,0
H27294,0,0,0,0,0,0,1,88,0,13514,0,0,0,0,0,0,7,0,22,0,0,0,0,0,151,8349,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,7979,0,0,0,0,0,1
H26862,0,0,0,0,0,0,3,50,0,5458,0,0,0,0,0,0,15,0,6,0,0,0,0,0,472,4054,0,0,0,552,0,0,0,0,0,0,0,0,1,0,627,0,0,0,0,2,0
H26760,0,0,0,0,0,0,4,405,0,5572,0,0,0,0,0,0,7,0,39,0,0,0,0,0,209,6419,0,0,0,1076,0,0,0,0,0,0,0,0,3,0,118,0,0,0,0,2,1
H27909,0,0,8,0,0,0,34,267,0,9920,0,0,0,0,0,0,67,0,64,0,0,0,0,0,744,10223,0,0,0,503,0,0,0,0,0,0,0,0,0,0,700,4,0,0,0,0,0
H28000,0,0,0,0,0,0,1,71,0,14342,0,0,0,0,0,0,6,0,6,0,0,0,0,0,460,8827,37,0,0,678,0,0,0,0,0,0,0,0,3,0,124,0,0,0,0,0,0
H28006,0,0,0,0,0,0,0,184,0,11291,0,0,0,0,0,0,18,0,4,0,0,0,0,0,221,6347,0,0,0,698,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,12,1
H28038,0,0,0,0,0,0,0,17,0,9633,0,6,0,0,0,0,1,0,0,0,0,0,0,0,386,4159,0,0,0,222,0,0,0,0,0,0,0,0,0,0,12430,0,0,0,0,0,1
H25800,0,0,0,0,0,0,8,282,0,8744,0,0,0,0,0,0,63,0,113,0,0,0,0,0,432,8021,4,2,0,631,0,0,0,0,0,0,0,0,4,4,1345,0,0,0,0,0,0
H25956,0,0,0,0,0,0,2,41,0,11351,0,0,3,0,0,0,23,0,61,0,0,0,0,0,505,10427,0,0,0,3843,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,1
H26803,0,0,0,0,0,0,2,190,0,5750,0,0,0,0,0,0,50,0,83,0,0,0,0,0,621,4053,0,0,0,558,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,1
H27145,0,0,0,0,0,0,3,80,0,6595,0,0,0,0,0,0,0,0,16,0,0,0,0,0,865,9178,0,0,0,128,0,2,0,0,0,0,0,0,0,2,172,0,0,0,0,1,0
H27892,0,0,0,0,0,0,33,43,0,12010,0,0,1,0,0,0,30,0,0,0,0,0,0,0,703,5915,0,0,0,1389,0,0,0,0,0,0,0,0,2,0,757,0,0,0,0,0,1
H26050,0,0,0,0,0,0,8,210,0,6075,0,4,0,0,0,0,0,0,17,0,0,0,0,0,80,6163,0,0,0,381,0,0,9,0,0,0,0,0,0,0,9048,0,0,0,0,0,1
H25813,0,0,0,0,0,0,9,240,0,5537,0,0,0,0,0,0,50,0,2,0,0,0,0,0,252,9480,0,0,0,5181,0,0,4,0,0,0,0,0,0,0,149,0,0,0,0,0,1
H26077,0,0,0,0,0,0,14,30,0,502,0,0,0,0,0,0,0,0,22,0,0,0,0,0,347,6495,0,0,0,3315,0,0,0,0,0,0,0,0,0,1,345,0,0,0,0,1,0
