sample_ID,Bacteria;Abditibacteriota;Abditibacteria,Bacteria;Acidobacteriota;Aminicenantia,Bacteria;Acidobacteriota;Blastocatellia,Bacteria;Acidobacteriota;Subgroup 5,Bacteria;Actinobacteriota;Acidimicrobiia,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Actinobacteriota;Thermoleophilia,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Bdellovibrionota;Bdellovibrionia,Bacteria;Bdellovibrionota;Oligoflexia,Bacteria;Campilobacterota;Campylobacteria,Bacteria;Chloroflexi;Anaerolineae,Bacteria;Cyanobacteria;Cyanobacteriia,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Dependentiae;Babeliae,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Desulfobacterota;Desulfuromonadia,Bacteria;Elusimicrobiota;Elusimicrobia,Bacteria;Elusimicrobiota;Lineage IIa,Bacteria;Fibrobacterota;Fibrobacteria,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Firmicutes;Incertae Sedis,Bacteria;Firmicutes;Limnochordia,Bacteria;Firmicutes;Moorellia,Bacteria;Firmicutes;Negativicutes,Bacteria;Firmicutes;uncultured,Bacteria;Fusobacteriota;Fusobacteriia,Bacteria;Myxococcota;Polyangia,Bacteria;Myxococcota;bacteriap25,Bacteria;Nitrospirota;Nitrospiria,Bacteria;Patescibacteria;Saccharimonadia,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Spirochaetota;Brachyspirae,Bacteria;Spirochaetota;Spirochaetia,Bacteria;Synergistota;Synergistia,Bacteria;Verrucomicrobiota;Lentisphaeria,Bacteria;Verrucomicrobiota;Verrucomicrobiae,label
H27054,0,0,0,0,0,0,113,0,6498,0,0,0,0,0,0,0,0,0,0,0,0,1042,5530,0,0,0,329,0,2,0,0,0,0,0,417,0,0,0,0,0,0
H27411,0,0,0,0,0,14,198,0,12519,0,0,1,0,0,1,0,47,0,0,0,0,904,13974,57,0,0,366,1,1,0,0,0,2,0,2442,0,0,2,0,9,0
H18247,0,0,0,0,0,4,788,0,11644,0,0,0,0,0,0,0,2,0,0,0,0,1138,9164,0,0,0,200,0,0,0,0,0,0,0,120,0,0,0,0,0,1
H18229,0,0,0,0,0,6,27,0,645,0,0,0,0,0,0,0,0,0,0,0,0,1084,2596,0,0,0,4244,0,1,0,0,0,0,5,6239,0,0,0,0,0,0
H27284,0,0,0,0,0,12,567,0,1133,0,0,0,0,0,26,0,83,0,0,0,0,3643,12725,0,0,0,2013,0,10,0,0,0,1,0,2015,0,0,0,0,3,1
H31024,0,0,0,0,0,34,1186,0,20705,0,0,0,0,0,0,0,32,0,0,0,0,463,8590,0,0,0,2285,0,2,0,0,0,0,0,403,0,0,0,0,0,0
H26793,0,0,0,0,0,3,224,0,2727,0,0,0,0,0,5,0,207,0,0,0,0,509,3376,3,0,0,588,0,0,0,0,0,1,0,3009,0,0,0,0,0,0
H26720,0,0,0,0,0,39,16,0,1503,0,0,0,0,0,0,0,0,0,0,0,0,207,3220,0,0,0,1232,0,0,0,0,0,0,0,323,0,0,0,0,0,0
H25773,0,0,0,0,0,4,35,0,13909,0,0,0,0,0,7,0,131,0,0,0,0,188,9263,0,0,0,553,0,0,0,0,0,0,2,1126,0,0,0,0,0,0
H26066,0,0,0,0,0,5,172,0,3818,0,0,0,0,0,0,0,0,0,0,0,0,503,9552,0,0,0,2613,0,0,0,0,0,0,0,224,0,0,0,0,0,0
H25972,0,0,0,0,0,4,129,0,7187,0,0,0,0,0,0,0,44,0,0,0,0,725,12435,0,0,0,4943,0,1,0,0,0,3,0,394,0,0,0,0,0,0
H30956,0,0,0,0,0,6,17,0,3121,0,0,0,0,0,0,0,3,0,0,0,0,6957,2715,0,0,0,12,0,0,0,0,0,14,0,21224,0,0,0,0,0,0
H18216,0,0,0,0,0,5,100,0,13842,0,0,2,0,0,0,0,0,0,0,0,0,545,10919,0,0,0,3643,0,0,0,0,0,0,0,328,0,0,0,0,0,0
H26010,0,0,0,0,0,60,1404,0,4791,0,0,0,0,0,0,0,1,0,0,0,0,152,13840,0,0,0,9553,0,0,0,0,0,0,0,2499,0,0,0,0,0,1
H25808,0,0,0,0,0,2,179,0,7385,0,0,0,0,0,0,0,113,0,0,0,0,86,3455,0,0,0,487,0,0,0,0,0,0,0,1229,0,0,0,0,1,0
H25764,0,0,0,0,0,8,68,0,8238,0,0,0,0,0,0,0,0,0,0,0,0,672,7015,0,0,0,2113,0,0,0,0,0,0,0,1150,0,0,0,0,0,0
H26797,0,0,0,0,0,15,318,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,148,8131,0,0,0,2032,0,0,0,0,0,8,0,1008,0,0,0,0,0,0
H27112,0,0,0,0,0,7,428,0,6584,0,0,0,0,0,5,0,17,0,0,0,0,1213,8354,0,0,0,4147,0,0,0,0,0,0,0,408,0,0,0,0,2,0
H27233,0,0,0,0,0,1,329,0,13049,0,0,0,0,0,0,0,20,0,0,0,0,144,8060,0,1,0,2914,0,0,0,0,0,0,0,2004,0,0,0,0,0,0
H18187,0,0,0,0,0,0,134,0,9442,0,0,0,0,0,83,0,5,0,0,0,0,318,4607,0,0,0,380,0,0,0,0,0,3,0,1426,0,0,0,0,0,0
H34151,0,0,0,0,0,58,888,0,1906,0,0,1,0,0,0,0,9,0,0,0,0,3661,15208,0,0,0,35,0,0,0,0,0,6,15,722,0,0,0,0,0,1
H18190,0,0,0,0,0,4,282,0,6101,0,0,0,0,0,15,0,412,0,0,0,0,1172,6689,0,1,0,576,0,0,0,0,0,0,0,422,0,0,0,0,0,1
H27970,0,0,0,0,0,2,41,0,5541,0,0,0,0,0,64,0,8,0,0,0,0,149,4451,1,0,0,232,0,0,0,0,0,0,0,63,0,0,0,0,0,1
H25831,0,0,0,0,0,11,72,0,8175,0,0,0,0,0,0,0,150,0,0,0,0,1038,9245,4,3,0,3971,0,0,0,0,0,0,0,378,0,0,0,0,1,0
H26035,0,0,0,0,0,8,165,0,2610,0,0,0,0,0,32,0,3,0,0,0,0,133,4472,0,0,0,4227,0,0,0,0,0,3,2,5734,0,0,0,0,1,0
H31017,0,0,0,0,0,58,679,0,10070,0,0,0,0,0,0,0,11,0,0,0,0,399,8002,0,0,0,1524,0,200,0,0,0,8,0,4402,0,0,6,0,0,0
H27226,0,0,0,0,0,7,38,0,18779,0,0,0,0,0,0,0,3,0,0,0,0,356,4198,0,0,0,2949,0,0,0,0,0,0,0,1127,0,0,0,0,0,1
H32810,0,0,0,0,0,46,1213,0,5805,0,0,0,0,0,0,0,4,0,0,0,0,1591,7670,0,0,0,1717,0,0,0,0,0,4,0,145,0,0,0,0,0,0
H29075,0,0,0,0,0,4,21,0,5170,0,0,0,0,0,0,0,124,0,0,0,0,34,2134,0,0,0,1170,0,0,0,0,0,1,0,505,0,0,0,0,0,0
H26073,0,0,0,0,0,2,16,0,7140,0,0,0,0,0,0,0,21,0,0,0,0,279,2596,0,0,0,1418,0,0,0,0,0,1,2,5209,0,0,0,0,4,0
H25981,0,0,0,0,0,17,357,0,9857,0,0,0,0,0,0,0,34,0,0,0,0,4193,7496,16,2,0,109,0,0,0,0,0,0,5,161,0,0,0,0,1,0
H27254,0,0,0,0,0,20,29,0,10806,0,0,0,0,0,0,0,12,0,0,0,0,460,8438,0,0,0,9957,0,0,0,0,0,0,2,472,0,0,0,0,0,0
H28008,0,0,0,0,0,0,109,0,20170,0,0,0,0,0,0,0,0,0,0,0,0,202,9196,0,0,0,110,0,0,0,0,0,0,12,25,0,0,0,0,0,0
H34096,0,0,0,0,0,32,608,0,7666,0,0,0,0,0,0,0,5,0,0,0,0,2744,7158,0,0,0,450,0,0,0,0,0,9,0,7396,0,0,0,0,0,1
H27310,0,0,0,0,0,4,221,0,6025,0,0,3,0,0,0,0,52,0,0,0,0,850,12980,0,0,0,454,0,0,0,0,0,3,0,2574,0,0,0,0,0,0
H31033,0,0,0,0,0,11,189,0,16413,0,0,1,0,0,23,0,46,0,0,0,0,682,4816,2,0,0,2571,0,1,0,0,0,0,0,618,0,0,0,0,0,0
H26040,0,0,0,0,0,6,106,0,5593,0,0,0,0,0,1,0,130,0,0,0,0,156,4801,7,0,0,581,0,0,0,0,0,0,0,519,0,0,0,0,2,0
H32787,0,0,0,0,0,20,544,0,8070,0,0,4,0,0,8,0,0,0,0,0,0,579,8325,0,0,0,658,0,0,0,0,0,2,2,4697,0,0,0,0,0,0
H28000,0,0,0,0,0,1,71,0,14342,0,0,0,0,0,6,0,6,0,0,0,0,460,8827,37,0,0,678,0,0,0,0,0,3,0,124,0,0,0,0,0,0
H27220,0,0,0,0,0,4,23,0,9843,0,0,0,0,0,0,0,47,0,0,0,0,512,8749,0,0,0,1126,0,0,0,0,0,0,0,552,0,0,0,0,0,0
H26104,0,0,0,0,0,12,68,0,495,0,0,0,0,0,0,0,4,0,0,0,0,994,7107,0,0,0,14,0,0,0,0,0,0,0,291,0,0,0,0,0,0
H26583,0,0,0,0,0,8,262,0,199,0,0,0,0,0,0,0,1,0,0,0,0,4056,2228,0,0,0,2997,0,1,0,0,0,3,0,61,0,0,0,0,0,0
H26881,0,0,0,0,0,7,72,0,2716,0,0,0,0,0,0,0,4,0,0,0,0,3595,2974,0,0,0,276,0,0,0,0,0,2,0,634,0,0,0,0,0,0
H26045,0,0,0,0,0,39,714,0,7390,0,0,4,0,0,0,0,13,0,0,0,0,1096,6905,0,0,0,236,0,6,0,0,0,0,0,6521,0,0,0,0,0,0
H27435,0,0,0,0,0,14,57,0,3336,0,0,0,0,0,6,0,0,0,0,0,0,191,3844,0,0,0,2510,0,0,0,0,0,1,2,27200,0,0,0,0,0,0
H26043,0,0,0,0,0,0,40,0,3140,0,0,0,0,0,0,0,15,0,0,0,0,441,8153,0,0,0,4281,0,0,0,0,0,1,0,452,0,0,0,0,0,0
H27939,0,0,0,0,0,0,275,0,8283,0,0,0,0,0,0,0,0,0,0,0,0,505,11462,0,0,0,487,0,0,0,0,0,0,0,1721,0,0,0,0,0,1
H18124,0,0,0,0,0,6,192,0,7960,0,0,0,0,0,14,0,156,0,0,0,0,741,5291,0,0,0,414,0,1,0,0,0,0,0,238,0,0,0,0,0,0
H27276,0,0,0,0,0,2,17,0,11648,0,0,0,0,0,0,0,160,0,0,0,0,1291,8449,7,0,0,2030,0,0,0,0,0,1,73,640,0,0,0,0,1,0
H27277,0,0,0,0,0,1,19,0,9648,0,1,0,0,0,0,0,0,0,0,0,0,444,10932,0,0,0,1685,0,0,0,0,0,5,1,2039,0,0,0,0,0,0
H26897,0,0,0,0,0,4,26,0,5592,0,0,0,0,0,1,0,7,0,0,0,0,566,3648,0,0,0,1498,0,0,0,0,0,0,0,527,0,0,0,0,0,0
H27114,0,0,0,0,0,6,47,0,18075,0,0,11,0,0,0,0,42,0,0,0,0,246,8669,0,0,0,576,0,0,0,0,0,0,0,2234,0,0,1,0,0,0
H18253,0,0,0,0,2,12,406,0,6065,0,0,0,0,0,30,0,20,0,0,0,0,568,4019,0,0,0,153,0,85,0,0,0,15,12,1819,0,0,0,0,0,0
H18148,0,0,0,0,0,3,78,0,8635,0,0,0,0,0,0,0,779,0,0,0,0,973,3790,0,0,0,2294,0,1,0,0,0,2,0,157,0,0,0,0,0,0
H26628,0,0,0,0,0,0,30,0,3528,0,0,0,0,0,0,0,49,0,0,0,0,230,2565,0,0,0,704,0,0,0,0,0,0,0,3518,0,0,0,0,0,0
H18174,0,0,0,0,0,14,23,0,7757,0,0,0,0,0,0,0,166,0,0,0,0,325,4515,0,1,0,5348,0,0,0,0,0,0,0,226,0,0,0,0,0,0
H26843,0,0,0,0,0,2,70,0,4410,0,0,0,0,0,0,0,14,0,0,0,0,152,3807,1,2,0,113,0,0,0,0,0,1,0,20,0,0,0,0,2,1
H27150,0,0,0,0,0,0,6,0,11339,0,0,0,0,0,0,0,12,0,0,0,0,574,7957,0,0,0,43,0,0,0,0,0,0,6,1376,0,0,0,0,0,0
H26783,0,0,0,0,0,3,237,0,2213,0,0,0,0,0,9,0,34,0,0,0,0,595,7832,0,0,0,663,0,0,4,0,0,0,0,17,0,0,0,0,0,0
H27083,0,0,0,0,0,2,120,0,11539,0,0,0,0,0,97,0,21,0,0,0,0,490,12166,1,0,0,1755,0,1,0,0,0,2,0,701,0,0,0,0,0,0
H26714,0,0,0,0,0,7,203,0,1054,0,0,0,0,0,5,0,9,0,0,0,0,445,6827,0,0,0,184,0,0,0,0,0,0,0,3010,0,0,0,0,0,0
H25903,0,0,0,0,0,3,180,0,3144,0,0,0,0,0,0,0,0,0,0,0,0,114,7853,0,0,0,2078,0,0,0,0,0,0,0,96,0,0,0,0,0,0
H26923,0,0,0,0,0,5,67,0,5669,0,0,0,0,0,0,0,194,0,0,0,0,531,2908,0,0,0,53,0,0,0,0,0,2,0,4742,0,0,0,0,0,0
H25918,0,0,0,0,0,3,6,0,5289,0,0,0,0,0,2,0,18,0,0,0,0,120,5704,0,0,0,1749,0,30,0,0,0,1,0,199,0,0,3,0,2,0
H26880,0,0,0,0,0,11,18,0,8853,0,0,0,0,0,0,0,73,0,0,0,0,161,10236,0,1,0,366,0,0,0,0,0,0,0,9112,0,0,0,0,0,0
H26917,0,0,0,0,0,5,13,0,5358,0,0,0,0,0,1,0,0,0,0,0,0,141,3370,0,0,0,3123,0,0,0,0,0,1,0,236,0,0,0,0,0,0
H27162,0,0,0,0,0,0,48,0,11896,0,0,0,0,0,0,0,0,0,0,0,0,354,7988,0,0,0,2799,0,0,0,0,0,0,0,392,0,0,0,0,0,0
H27413,0,0,0,0,0,6,99,0,3620,0,0,0,0,0,13,0,28,0,0,0,0,261,17465,0,0,0,1263,0,0,0,0,0,6,0,567,0,0,0,0,0,0
H27129,0,0,0,0,0,2,121,0,2477,0,0,0,0,0,0,0,0,0,0,0,0,783,20344,0,0,0,40,0,0,0,0,0,0,0,642,0,0,0,0,0,0
H31085,0,0,0,0,0,3,238,0,5428,0,0,0,0,0,0,0,29,0,0,0,0,655,7837,0,0,0,1879,0,0,0,0,0,0,0,2378,0,0,0,0,0,0
H27172,0,0,0,0,0,1,81,0,12871,0,0,0,0,0,14,0,161,0,0,0,0,357,6064,0,0,0,666,0,0,0,0,0,11,0,1669,0,0,0,0,0,0
H25751,0,0,0,0,0,4,324,0,10561,0,0,2,0,0,0,0,0,0,0,0,0,255,6861,0,0,0,997,0,0,0,0,0,1,0,1833,0,0,0,0,0,0
H25778,0,0,0,0,0,11,433,0,4370,0,0,0,0,0,21,0,12,0,0,0,0,1292,7916,2,0,0,1111,0,0,0,0,0,0,0,22,0,0,0,0,0,0
H25960,0,0,0,0,0,32,69,0,3696,0,0,0,0,0,30,0,5,0,0,0,0,1641,10222,7,0,0,67,9,0,0,0,0,0,4,5147,0,0,0,0,0,0
H27390,0,0,0,0,0,2,169,0,9195,0,0,0,0,0,0,0,293,0,0,0,0,5283,9874,0,0,0,290,0,0,0,0,0,2,0,161,0,0,0,0,1,0
H25985,0,0,0,0,0,14,38,0,13526,0,0,0,0,0,0,0,0,0,0,0,0,233,10420,0,0,0,33,0,0,0,0,0,0,3,354,0,0,0,0,0,0
H18374,0,0,0,0,0,10,605,0,7254,0,0,9,0,0,0,0,23,0,0,0,0,1637,7583,0,0,0,129,0,0,0,0,0,1,0,605,0,0,0,0,0,0
H27191,0,0,0,0,0,3,264,0,8633,0,0,0,0,0,0,0,34,0,0,0,0,162,10596,0,0,0,422,0,0,0,0,0,4,0,1269,0,0,0,0,0,0
H25748,0,0,0,0,0,17,400,0,3226,0,0,0,0,0,204,0,5,0,0,0,0,326,10082,0,0,0,8370,0,0,0,0,0,2,16,1949,0,0,0,0,0,0
H26867,0,0,0,0,0,1,19,0,7545,0,0,0,0,0,12,0,7,0,0,0,0,188,4870,0,0,0,1902,0,0,0,0,0,0,0,92,0,0,0,0,0,0
H26011,0,0,0,0,0,30,404,0,12356,0,0,0,0,0,0,0,208,0,0,0,0,925,8148,0,0,0,1308,0,0,0,0,0,0,3,627,0,0,0,0,0,0
H26737,0,0,0,0,0,3,26,0,494,0,0,0,0,0,0,0,0,0,0,0,0,127,2786,0,0,0,123,0,0,0,0,0,0,0,17288,0,0,0,0,0,0
H27250,0,0,0,0,0,4,194,0,11965,0,0,2,0,0,0,0,231,0,0,0,0,895,8228,23,0,0,956,0,4,0,0,0,0,3,8306,0,0,0,0,0,0
H18362,0,0,0,0,0,3,68,0,8735,0,0,0,0,0,0,0,503,0,0,0,0,533,7648,0,0,0,2787,0,0,0,0,0,1,0,304,0,0,0,0,0,0
H26039,0,0,0,0,0,5,153,0,3592,0,0,0,0,0,6,0,14,0,0,0,0,1232,5150,2,1,0,152,0,0,0,0,0,0,0,110,0,0,0,0,3,0
H18121,0,0,0,0,0,3,170,0,4320,0,0,0,0,0,0,0,16,0,0,0,0,99,3325,0,1,0,1179,0,0,0,0,0,0,1,395,0,0,0,0,0,0
H29071,0,0,0,0,0,49,104,0,3579,0,0,0,0,0,0,0,35,0,0,0,0,941,12987,0,0,0,103,0,1,0,0,0,1,0,48470,0,0,0,0,0,0
H31087,0,0,0,0,0,38,753,0,6430,0,0,1,0,0,39,0,29,0,0,0,0,966,6989,0,0,0,1156,0,0,0,0,0,0,0,8431,0,0,0,0,0,0
H26087,0,0,0,0,0,9,23,0,3522,0,0,0,0,0,271,0,49,0,0,0,0,987,3943,0,0,0,1067,0,0,0,0,0,1,0,2882,0,0,0,0,0,0
H25973,0,0,0,0,1,9,555,0,6606,0,0,0,0,0,0,0,45,0,0,0,0,2064,6493,0,0,0,230,0,2,0,0,0,1,2,48,268,0,0,0,0,0
H26884,0,0,0,0,0,3,319,0,2680,0,0,0,0,0,18,0,1,0,0,0,0,2150,3681,0,0,0,1200,0,0,0,0,0,0,0,12,7,0,0,0,0,1
H18134,0,0,0,0,0,8,454,0,5808,0,0,0,0,0,0,0,0,0,0,0,0,1553,8623,0,0,0,1058,0,0,0,0,0,6,0,989,0,0,0,0,0,0
H25869,0,0,0,0,0,2,80,0,9083,0,0,0,0,0,8,0,5,0,0,0,0,1065,7556,32,0,0,544,0,0,0,0,0,0,0,5864,0,0,0,0,1,1
H34106,0,0,0,0,0,11,451,0,8058,0,0,0,0,0,10,0,260,0,0,0,0,389,5042,8,0,0,55,0,2,0,0,0,0,15,6215,0,0,7,0,3,1
H26084,0,0,0,0,0,6,182,0,8282,0,0,0,0,0,5,0,62,0,0,0,0,312,4974,0,0,0,1354,0,1,0,0,0,0,0,1663,0,0,1,0,0,0
H27985,0,0,0,0,0,5,157,0,9136,0,0,2,0,0,0,0,18,0,0,0,0,1447,5233,2,0,0,372,1,0,0,0,0,0,0,123,0,0,0,0,0,1
H25810,0,0,0,0,0,1,34,0,6866,0,0,0,0,0,0,0,14,0,0,0,0,164,4379,0,0,0,608,0,1,0,0,0,0,0,291,0,0,0,0,2,0
H27437,0,0,0,0,0,1,100,0,12386,0,0,0,0,0,0,0,24,0,0,0,0,172,9429,10,0,0,2529,0,2,0,0,0,1,0,1031,0,0,0,0,1,0
H18256,0,0,0,0,0,4,306,0,9931,0,0,0,0,0,1,0,2,0,0,0,0,724,8922,1,2,0,193,0,0,0,0,0,1,0,218,0,0,0,2,0,0
H25863,0,0,0,0,0,16,362,0,7586,0,0,0,0,0,0,0,0,0,0,0,0,475,10515,0,0,0,2422,0,0,0,0,0,2,0,9434,0,0,0,0,11,1
H30916,0,0,0,0,0,11,1016,0,9211,0,0,0,0,0,0,0,11,0,0,0,0,1121,6123,0,0,0,14,0,0,0,0,0,0,0,3659,5377,0,0,0,0,0
H27107,0,0,0,0,0,14,124,0,15279,0,0,23,0,0,0,0,434,0,0,0,0,462,13236,1,0,0,3125,0,0,0,0,0,0,1,978,0,0,0,0,1,0
H26786,0,0,0,0,0,13,683,0,1635,0,0,0,0,0,0,0,9,0,0,0,0,733,6303,0,0,0,255,0,5,0,0,0,0,0,1626,0,0,0,0,0,0
H27087,0,0,0,0,0,6,141,0,10527,0,0,0,0,0,0,0,36,0,0,0,0,651,6075,0,0,0,3631,0,0,0,0,0,0,0,2077,0,0,0,0,0,0
H25799,0,0,0,0,0,20,671,0,8628,0,0,0,0,0,0,0,213,0,0,0,0,150,6961,0,0,0,1658,0,0,0,0,0,0,0,1553,0,0,0,0,0,0
H27376,0,0,0,0,0,1,71,0,17129,0,0,0,0,0,15,0,2,0,0,0,0,199,7665,0,0,0,1196,0,0,0,0,0,0,4,4203,0,0,0,0,0,0
H27370,0,0,0,0,0,14,460,0,3616,0,0,0,0,0,73,0,35,0,0,0,0,1256,16738,0,0,0,4536,0,0,2,0,0,0,0,2339,0,0,0,0,0,0
H25782,0,0,0,0,1,11,766,0,8585,0,0,0,0,0,0,0,31,0,0,0,0,1102,5117,4,0,0,100,0,0,0,0,0,0,2,15503,0,0,0,0,0,0
H28007,0,0,0,0,0,26,94,19,904,0,0,0,0,0,0,0,0,0,0,0,0,468,13656,0,0,0,80,0,0,0,0,0,0,0,39,0,0,0,0,0,0
H25970,0,0,0,0,0,16,110,0,15133,0,0,0,0,0,68,0,0,0,0,0,0,424,7547,0,0,0,2646,0,0,1,0,0,0,0,3682,0,0,0,0,0,0
H30963,0,0,16,0,0,109,923,0,2673,0,14,0,0,0,0,0,16,0,0,0,0,8570,9237,0,0,0,125,0,0,0,0,0,0,9,509,0,13,0,0,0,0
H28032,0,0,0,0,0,1,25,0,8336,0,0,2,0,0,0,0,6,0,0,0,0,228,11070,2,1,0,1208,0,0,0,0,0,0,0,237,0,0,0,0,0,0
H27402,0,0,0,0,0,74,1846,0,6775,0,0,10,0,0,1,0,67,0,0,0,0,717,18377,0,0,0,8790,0,0,0,0,0,15,0,3126,0,0,0,0,0,0
H18201,0,0,0,0,0,3,173,0,4886,0,0,0,0,0,153,0,190,0,0,0,0,1292,7045,13,0,0,402,8,0,0,0,0,0,0,217,0,0,0,0,5,0
H25832,0,0,0,0,0,3,345,0,4373,0,0,0,0,0,4,0,6,0,0,0,0,1340,4442,0,0,0,3680,0,0,0,0,0,0,0,195,0,0,0,0,0,1
