sample_ID,Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales,Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales,Bacteria;Acidobacteriota;Subgroup 5;uncultured Acidobacteria bacterium,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Actinobacteriota;Actinobacteria;Frankiales,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales,Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales,Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales,Bacteria;Actinobacteriota;Actinobacteria;uncultured,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales,Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales,Bacteria;Bacteroidota;Bacteroidia;Cytophagales,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales,Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales,Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,Bacteria;Chloroflexi;Anaerolineae;Caldilineales,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,Bacteria;Dependentiae;Babeliae;Babeliales,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales,Bacteria;Desulfobacterota;Desulfuromonadia;Geoalkalibacteraceae,Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales,Bacteria;Elusimicrobiota;Lineage IIa;Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12,Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales,Bacteria;Firmicutes;Bacilli;Acholeplasmatales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Bacilli;Izemoplasmatales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Thermicanales,Bacteria;Firmicutes;Clostridia;Caldicoprobacterales,Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Eubacteriales,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;uncultured,Bacteria;Firmicutes;Incertae Sedis;DTU014,Bacteria;Firmicutes;Limnochordia;Hydrogenispora,Bacteria;Firmicutes;Limnochordia;M55-D21,Bacteria;Firmicutes;Moorellia;Desulfitibacterales,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Firmicutes;uncultured;uncultured Peptococcaceae bacterium,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Myxococcota;Polyangia;Polyangiales,Bacteria;Myxococcota;Polyangia;mle1-27,Bacteria;Myxococcota;bacteriap25;uncultured bacterium,Bacteria;Nitrospirota;Nitrospiria;Nitrospirales,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales,Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,Bacteria;Spirochaetota;Brachyspirae;Brachyspirales,Bacteria;Spirochaetota;Spirochaetia;Spirochaetales,Bacteria;Synergistota;Synergistia;Synergistales,Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,label
H25842,0,0,0,0,0,67,26,3,0,61,0,2,0,0,0,594,0,0,1821,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,3100,0,53,0,0,0,27,0,222,7,0,2918,313,1388,0,32,0,0,0,0,0,14,266,0,0,0,0,0,0,24,0,0,0,0,7,0,0,0,594,0,0,0,0,8832,0,0,0,0,3847,5,0,1,0,0,0,0,0,0,0
H26832,0,0,0,0,0,0,1,8,0,0,0,0,0,0,4,326,0,0,5960,0,0,34,10,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1141,0,116,0,0,0,0,655,1,0,85,0,0,3513,27,3934,0,368,0,0,0,0,0,125,45,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0,273,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1
H18186,0,0,0,0,0,13,0,0,0,4,0,1,0,0,0,343,0,0,4379,0,0,3,0,0,0,0,0,0,18,0,117,0,0,0,0,0,0,328,0,59,0,1,0,0,32,601,0,0,0,0,4185,419,3147,0,20,0,0,0,0,0,0,153,0,3,0,0,0,0,7,0,0,0,0,1,0,0,0,230,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
H18354,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,31,0,0,6147,0,0,0,0,0,0,0,0,0,7,0,52,0,0,0,0,0,0,234,0,24,2,1,0,0,36,355,34,2,0,0,1566,112,4225,14,33,0,0,0,0,0,313,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,59,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
H25771,0,0,0,0,0,12,8,3,0,0,0,0,0,0,0,660,0,0,6139,0,0,2,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,1094,0,189,12,2,0,0,74,20,0,4,0,0,4608,95,3668,0,62,0,0,0,0,0,1,719,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,312,0,0,0,0,48,0,0,1,0,0,0,0,0,0,0
H27312,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,48,0,0,4779,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,15,1,1,0,0,0,0,0,0,0,0,4393,204,2831,0,9,0,0,0,0,0,0,11059,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,25,0,0,0,0,11,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0
H21543,0,0,0,0,0,0,26,0,0,1,0,1,0,0,0,223,0,0,8159,0,0,10,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,286,3,15,1,1,0,0,302,6139,2,1,1,8,1928,36,3761,61,57,3,5,0,0,0,347,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
H27054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,6498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,25,33,904,0,0,0,781,759,6,3,0,1,1359,32,2566,2,20,1,0,0,0,0,327,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,1,0,5,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
H27411,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,198,0,0,12218,1,0,300,0,0,0,1,0,0,1,0,47,0,0,0,0,0,1,827,6,8,62,0,0,0,1842,475,67,3,2,0,1310,91,9964,47,165,8,57,0,0,0,347,19,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,374,0,0,1,0,2063,0,0,0,0,1,3,0,0,0,0,2,0,8,1,0
H18247,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,788,0,0,11644,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,969,0,138,31,0,0,0,214,118,0,1,0,0,3483,20,5316,1,11,0,0,0,0,0,189,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1
H18229,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,27,0,0,638,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,343,0,4,0,0,2,2,0,6,0,0,2230,0,356,0,0,0,0,0,0,0,0,4244,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,6230,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
H27284,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,567,0,0,1131,0,0,2,0,0,0,0,0,0,26,0,83,0,0,0,0,0,0,2847,0,796,0,0,0,0,324,101,0,80,10,0,9041,237,2870,0,62,0,0,0,0,0,0,2013,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,51,0,0,0,0,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
H31024,0,0,0,0,0,14,7,6,0,7,0,0,0,0,0,1186,0,0,20705,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,234,0,228,0,1,0,0,230,1,0,18,0,0,4430,69,3807,1,34,0,0,0,0,0,1,2284,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,81,0,0,0,0,72,4,0,0,0,0,0,0,0,0,0
H26793,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,224,0,0,2727,0,0,0,0,0,0,0,0,0,5,0,207,0,0,0,0,0,0,124,18,95,271,1,0,0,426,445,20,0,0,1,798,40,1614,18,14,0,3,0,0,0,23,565,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,2981,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
H26720,0,0,0,0,0,10,0,23,0,0,0,6,0,0,0,16,0,0,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,184,0,10,0,0,19,24,0,16,0,0,1919,185,1031,0,26,0,0,0,0,0,31,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,67,0,0,0,0,0,25,0,19,0,0,0,0,0,0,0
H25773,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,35,0,0,13909,0,0,0,0,0,0,0,0,0,7,0,131,0,0,0,0,0,0,181,0,6,1,0,0,0,565,451,1,9,0,0,3513,244,4456,7,17,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1080,0,0,0,0,16,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0
H26066,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,172,0,0,3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,378,0,124,0,0,0,0,1626,84,0,212,5,0,3188,62,4304,0,71,0,0,0,0,0,1,2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,30,0,0,0,0,121,2,0,0,0,0,0,0,0,0,0
H25972,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,129,0,0,7186,0,0,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,46,0,665,0,14,0,0,193,528,1,27,1,0,3778,97,7494,0,316,0,0,0,0,0,0,4943,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,44,0,0,0,0,47,0,0,0,0,1,302,0,0,0,0,0,0,0,0,0
H30956,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,17,0,0,3121,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,494,0,6463,0,0,0,0,148,578,4,34,0,0,718,188,1027,0,18,0,0,0,0,0,4,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,10,0,0,7,0,21204,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
H18216,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,100,0,0,13842,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,508,0,36,0,1,0,0,393,0,3,667,0,0,5658,57,4122,0,19,0,0,0,0,0,0,3643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,73,0,0,0,0,237,1,0,0,0,0,0,0,0,0,0
H26010,0,0,0,0,0,10,46,4,0,0,0,0,0,0,0,1404,0,0,4788,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,105,0,47,0,0,0,0,4,3,0,1021,0,0,2644,560,9594,0,14,0,0,0,0,0,11,9542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,0,1225,0,0,0,0,60,2,2,0,0,0,0,0,0,0,1
H25808,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,179,0,0,7385,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,30,1,55,0,0,0,0,50,1,1,0,0,0,1832,10,1553,1,7,0,0,0,0,0,276,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,61,0,0,0,0,125,0,0,0,0,0,0,0,1,0,0
H25764,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,68,0,0,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,38,5,2,0,0,0,3,0,33,0,0,2972,245,3757,0,5,0,0,0,0,0,0,2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,11,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0
H26797,0,0,0,0,0,10,0,1,0,4,0,0,0,0,0,318,0,0,1292,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,63,0,0,0,0,29,0,2,56,0,0,3506,81,4408,1,48,0,0,0,0,0,0,2032,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,1,0,996,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
