sample_ID,Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales,Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Actinobacteriota;Actinobacteria;Frankiales,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales,Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales,Bacteria;Actinobacteriota;Actinobacteria;uncultured,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales,Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales,Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales,Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,Bacteria;Chloroflexi;Anaerolineae;Caldilineales,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,Bacteria;Dependentiae;Babeliae;Babeliales,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales,Bacteria;Desulfobacterota;Desulfuromonadia;Geoalkalibacteraceae,Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales,Bacteria;Elusimicrobiota;Lineage IIa;Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12,Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Bacilli;Izemoplasmatales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Bacilli;Mycoplasmatales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Thermicanales,Bacteria;Firmicutes;Clostridia;Caldicoprobacterales,Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Eubacteriales,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;uncultured,Bacteria;Firmicutes;Incertae Sedis;DTU014,Bacteria;Firmicutes;Limnochordia;Hydrogenispora,Bacteria;Firmicutes;Limnochordia;M55-D21,Bacteria;Firmicutes;Moorellia;Desulfitibacterales,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Firmicutes;uncultured;uncultured Peptococcaceae bacterium,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Myxococcota;Polyangia;Polyangiales,Bacteria;Myxococcota;Polyangia;mle1-27,Bacteria;Myxococcota;bacteriap25;uncultured bacterium,Bacteria;Nitrospirota;Nitrospiria;Nitrospirales,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales,Bacteria;Proteobacteria;Gammaproteobacteria;EV818SWSAP88,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,Bacteria;Spirochaetota;Brachyspirae;Brachyspirales,Bacteria;Spirochaetota;Spirochaetia;Spirochaetales,Bacteria;Synergistota;Synergistia;Synergistales,Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,label
H18127,0,0,0,0,1,1,0,0,0,0,0,0,0,334,0,0,3049,0,0,0,0,0,0,0,56,0,2,0,0,0,0,0,158,2,226,0,165,5,0,0,397,1176,22,1,1,2,880,15,2041,6,23,0,2,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H27279,0,0,0,0,2,5,0,0,0,0,0,0,0,293,0,0,1558,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,92,0,70,0,0,0,0,0,66,784,1,38,0,0,3304,103,15116,0,64,0,1,0,0,0,174,5561,0,0,15,0,0,5,8,0,0,0,0,0,0,0,0,54,0,0,0,0,2714,0,0,0,0,385,2,0,0,0,0,0,0,0,0,0
H26890,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,6523,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0,30,0,0,0,0,0,11,240,0,0,0,0,2246,11,1410,0,6,0,0,0,0,0,655,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,82,0,0,0,0,130,0,0,0,0,0,0,0,0,1,0
H30963,0,0,16,0,52,0,44,0,13,0,0,0,0,923,0,0,2549,12,90,22,0,14,0,0,0,0,16,0,0,0,0,1,7296,11,1251,0,0,11,0,0,144,637,9,28,0,11,3921,55,3850,166,416,0,0,0,0,0,1,124,0,0,0,0,0,0,0,9,0,0,0,0,0,19,0,109,0,0,28,0,262,0,0,20,0,0,71,0,0,0,13,0,0,0,0,0
H21548,0,0,0,0,11,2,0,0,0,0,0,0,0,51,0,0,9742,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,51,0,190,0,0,5,0,0,20,1,0,88,0,0,1775,11,757,0,54,0,0,0,0,0,79,77,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,93,0,0,0,0,713,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1
H31018,0,0,0,0,2,1,0,0,1,0,0,0,0,202,0,0,14392,0,0,0,0,0,0,0,215,0,60,0,0,0,0,0,314,1,99,0,26,1,0,0,181,537,13,123,0,0,1688,29,3950,14,28,0,11,0,0,0,257,94,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,72,0,0,0,0,198,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
H25926,0,0,0,0,4,10,2,0,0,0,3,0,0,569,0,0,8299,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,41,4,124,0,0,6,0,0,16,2,0,2,4,0,4689,16,4814,0,111,0,0,0,0,0,182,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,0,0,282,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
H27312,0,0,0,0,5,0,2,0,0,0,0,0,0,48,0,0,4779,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,15,0,1,1,0,0,0,0,0,0,0,0,4393,204,2831,0,9,0,0,0,0,0,0,11059,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,25,0,0,0,0,11,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0
H31085,0,0,0,0,3,0,0,0,0,0,0,0,0,238,0,0,5428,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,457,0,87,0,111,0,0,0,43,315,3,1,0,0,2918,124,4413,1,19,0,0,0,0,0,0,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,751,0,0,0,0,5,1589,0,5,0,0,0,0,0,0,0
H27137,0,0,0,0,0,0,0,0,1,0,0,0,0,50,0,0,7113,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,68,0,6,0,190,1,0,0,69,126,3,3,0,0,2013,13,4113,0,39,0,0,0,0,0,1,1721,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,0,0,0,0,20,0,0,0,0,229,2,0,0,0,0,0,0,0,0,0
H31038,0,0,0,0,3,3,0,0,2,0,11,0,0,248,0,0,13340,0,0,0,0,0,0,0,160,0,20,0,0,0,0,0,164,0,254,0,0,0,0,0,431,0,4,251,0,0,2950,92,3983,0,28,0,0,0,0,0,0,7715,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,465,0,0,0,0,38,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0
H27273,0,0,0,0,2,0,0,0,0,0,0,0,0,49,0,0,10600,0,0,0,0,0,0,0,81,0,84,0,0,0,0,0,173,19,20,0,226,2,0,0,94,229,6,6,0,0,5248,123,6331,3,50,0,0,0,0,0,0,5380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,122,0,0,0,0,135,3,0,0,0,1,0,0,0,0,0
H18204,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,0,0,4996,0,0,0,0,0,0,0,46,0,282,0,0,0,0,0,52,0,47,0,1,1,0,0,33,0,1,1,0,0,2007,58,2125,10,27,0,0,0,0,0,879,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,218,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H26845,0,0,0,0,8,0,0,0,0,0,0,0,0,118,0,0,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,37,0,0,0,0,0,205,12,2,9,0,0,1257,125,2392,2,34,0,0,0,0,0,0,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1024,0,0,0,0,198,2,0,0,0,0,0,0,0,0,0
H26928,0,0,0,0,0,1,1,0,1,0,0,0,0,70,0,0,8006,0,72,0,0,0,8,0,0,0,36,0,0,0,0,0,95,5,45,0,230,0,0,3,1564,1627,0,8,1,0,1088,151,3701,23,45,0,2,2,0,0,4,1848,6,3,0,0,0,0,2,0,0,0,0,0,0,0,0,63,0,0,0,0,510,0,0,0,0,19,0,0,0,37,0,0,0,0,0,0
H27143,0,0,0,0,2,0,0,0,0,0,0,0,0,166,0,0,12930,0,1,0,0,0,0,0,0,0,148,0,0,0,0,1,173,0,72,0,0,0,0,0,592,171,7,31,0,0,3059,501,4084,21,32,0,0,0,0,0,393,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
H25767,0,0,0,0,7,9,0,0,0,0,0,0,0,239,0,0,4768,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,395,1,7,0,120,2,0,0,1379,473,1,12,0,5,1096,9,3624,3,21,0,0,0,0,0,0,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,3155,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
H27164,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,14645,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,80,0,40,0,0,0,0,0,12,65,0,2,0,0,1779,30,3442,0,7,0,0,0,0,0,40,470,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1137,0,0,0,0,1,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0
H26605,0,0,0,0,3,0,2,0,1,0,0,0,0,117,0,0,2744,0,0,0,0,0,0,0,13,0,72,0,0,0,0,0,342,0,4,0,543,1,0,0,602,332,8,7,1,0,600,34,2436,12,49,0,5,0,0,0,87,11,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,96,0,0,0,0,144,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
H26574,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,3978,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,60,2,4,0,0,0,0,0,178,0,23,11,0,2,566,93,1878,7,7,0,9,0,0,0,0,140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
H21549,0,0,0,0,1,0,0,0,1,0,0,0,0,87,0,0,2931,0,0,0,0,0,0,0,34,0,172,0,0,0,0,0,2054,89,131,0,116,0,0,0,572,820,36,1,0,8,1904,55,1783,8,53,0,0,0,0,0,56,33,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,131,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H26742,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,8486,0,8,0,4,0,0,0,16,0,9,0,0,0,0,0,123,0,102,0,0,0,0,0,57,0,0,1,0,0,2641,35,3017,1,106,0,0,0,0,0,0,3833,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,335,0,0,0,0,1098,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
H32772,0,0,0,0,1,2,0,0,0,0,0,0,0,493,0,0,11949,0,36,0,0,0,2,0,0,0,228,0,0,0,0,0,427,78,14,0,60,0,0,0,426,305,15,28,0,0,1568,8,4688,15,116,0,0,0,0,0,779,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
H26750,0,0,0,0,7,0,0,0,0,0,0,0,0,123,0,0,3474,0,0,0,0,0,28,0,0,0,0,6,0,0,0,0,2456,0,178,0,33,11,0,0,16,1,0,27,0,0,8299,1,1709,0,102,0,0,0,0,0,157,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H27114,0,0,0,0,3,3,0,0,0,0,0,0,0,47,0,0,18075,0,0,0,0,0,11,0,0,0,42,0,0,0,0,0,226,0,20,0,0,0,0,0,64,0,0,8,0,0,4215,97,4240,0,45,0,0,0,0,0,246,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622,0,0,0,0,505,0,0,0,0,107,0,0,0,0,0,1,0,0,0,0
H18256,0,0,0,0,1,3,0,0,0,0,0,0,0,306,0,0,9930,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,545,94,78,0,4,2,0,0,80,522,15,9,0,2,3758,81,4391,19,45,0,1,2,0,0,180,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59,0,0,0,0,42,0,0,0,0,117,0,0,0,0,0,0,2,0,0,0
H26060,0,0,0,0,3,0,0,0,2,0,0,0,0,209,0,0,3637,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,61,0,0,0,0,0,0,4,0,0,0,0,2308,22,1693,0,36,0,0,0,0,0,3058,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,0,0,426,0,0,0,0,4,0,0,1,0,0,1,0,0,14,0
