sample_ID,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Firmicutes;Negativicutes,Bacteria;Proteobacteria;Gammaproteobacteria,label
H26026,17,552,1582,2,0,1251,5767,4786,68,0
H27417,8,284,23515,0,183,290,17950,756,502,0
H27109,1,138,9174,0,28,413,11310,2764,2182,0
H26039,5,153,3592,6,14,1232,5150,152,110,0
H27158,1,6,18408,374,242,125,9645,1189,1469,0
H25852,2,312,5320,1,24,350,7411,837,26,0
H27244,16,103,6285,25,31,1091,8872,607,74,0
H26075,4,110,6553,0,10,198,3685,3224,7637,0
H26725,6,218,3392,0,0,2197,7563,511,131,0
H26011,30,404,12356,0,208,925,8148,1308,627,0
H25898,7,135,9619,0,50,178,8018,111,806,0
H18151,12,386,2098,9,726,838,5326,26,11975,0
H30960,7,101,5983,0,12,781,5650,1666,2050,0
H26624,8,3,4003,0,141,45,2342,598,80,0
H18189,13,1140,3130,0,68,415,5761,637,68,0
H26858,20,160,5968,3,32,305,5772,1526,599,0
H27988,4,36,9508,0,10,351,4032,100,1040,0
H27180,3,93,9690,0,33,2763,7134,653,84,0
H34166,7,2387,8327,0,1,277,7513,3176,118,0
H26738,1,66,7111,0,53,3566,12401,193,120,0
H18161,4,281,3284,0,2,274,3577,205,2255,0
H27145,3,80,6595,0,16,865,9178,128,172,0
H26953,41,458,8476,0,7,570,3576,84,8839,0
H25760,11,328,10622,1,17,1030,7333,160,4769,0
H26856,20,123,989,0,0,10267,8526,116,3899,0
H18370,1,46,7190,27,8,222,5637,1729,788,0
H26761,4,298,2653,0,13,938,4093,2783,633,0
H25903,3,180,3144,0,0,114,7853,2078,96,0
H25998,39,212,1870,0,0,2074,5619,1088,12106,0
H27254,20,29,10806,0,12,460,8438,9957,472,0
H26045,39,714,7390,0,13,1096,6905,236,6521,0
H18211,1940,874,7897,0,44,754,5002,303,4167,0
H27968,2,59,1740,0,14,360,4696,4351,432,0
H27288,4,105,2247,0,0,905,13294,1494,123,0
H26073,2,16,7140,0,21,279,2596,1418,5209,0
H18114,33,577,11565,0,2,1229,5091,2697,1655,0
H27958,2,317,6113,8,85,899,11297,3496,889,0
H27102,0,231,7287,18,186,769,9002,2,2663,0
H18374,10,605,7254,0,23,1637,7583,129,605,0
H21535,3,166,2135,0,0,725,2577,1170,2353,0
H27420,6,112,1845,0,21,283,7189,11820,79,0
H27316,0,15,970,1,31,433,10675,4288,14844,0
H25985,14,38,13526,0,0,233,10420,33,354,0
H27993,0,229,9843,37,21,1091,16986,940,1362,0
H26081,7,87,14029,0,332,49,3658,197,450,0
H27156,8,26,12809,0,764,444,1619,4846,245,0
H28008,0,109,20170,0,0,202,9196,110,25,0
H26106,5,358,3825,0,2,293,4984,720,5986,0
H18358,39,82,4918,0,5,230,5543,2630,526,1
H27391,0,130,8815,0,3,1328,8579,7126,447,0
H18199,0,112,7198,5,7,645,4639,1934,74,0
H26754,0,23,8130,0,0,788,5492,1609,620,0
H27425,95,2303,7311,0,19,408,15332,89,10460,1
H26052,6,359,10758,0,0,227,5428,908,1570,0
H28020,2,50,10653,140,230,503,8309,1999,13109,0
H27890,14,108,5360,0,1,674,3832,3557,2684,0
H26902,15,16,4124,1,0,472,4823,2544,507,0
H26040,6,106,5593,1,130,156,4801,581,519,0
H27103,21,17,10284,0,581,123,12687,72,1205,0
H18118,14,998,3838,14,9,1772,8678,24,466,0
H26035,8,165,2610,32,3,133,4472,4227,5734,0
H29010,2,253,10256,0,0,748,5124,1523,161,0
H27093,45,98,2861,4,27,3365,19665,5131,4226,0
H26757,8,107,4360,8,12,264,6437,1477,1259,0
H25881,14,229,6473,3,0,1021,14271,600,287,0
H30945,5,348,6585,0,0,2126,16767,210,1406,0
H25905,1,107,6262,0,288,503,8057,8840,1029,0
H26609,3,44,3309,0,10,195,3657,235,97,0
H25842,159,594,1898,0,0,3391,4907,280,13279,0
H26107,31,914,3618,0,41,1853,9489,3266,1594,0
H18106,4,15,5009,0,0,112,3624,1026,1754,0
H26881,7,72,2716,0,4,3595,2974,276,634,0
H27218,4,89,8202,0,194,640,6442,1213,5378,0
H27117,8,625,4122,0,2,561,18102,367,1219,0
H26102,0,81,1710,6,357,669,5282,50,869,0
H25970,16,110,15133,68,0,424,7547,2646,3682,0
H26835,20,245,3080,0,135,451,2327,497,6633,0
H18261,1,62,4158,0,27,194,4287,6442,546,0
H29002,7,2543,19889,33,312,1062,12848,4290,888,0
H18212,0,167,6799,60,18,1386,6119,21,455,0
H25807,8,511,7467,0,59,153,6702,635,1520,0
H26778,23,316,3919,9,0,841,5429,148,267,1
H18284,1,177,7754,0,26,134,2379,3813,1898,0
H26737,3,26,494,0,0,127,2786,123,17288,0
H26766,2,12,13399,0,7,129,4427,166,84,0
H25961,20,304,730,0,0,1131,5502,7940,12568,0
H32788,8,219,16760,0,49,1163,7677,2808,1981,0
H18324,3,99,7077,0,61,523,3570,82,3065,0
H26715,2,22,4254,1,13,78,3746,627,2698,0
H30966,0,120,6142,13,6,312,8615,8115,1279,0
H26898,4,4,6188,4,266,88,4504,230,857,0
H18170,5,45,4467,17,83,1026,4602,388,2371,0
H26587,12,165,2934,0,164,231,3602,482,1979,0
H27372,2,1217,9263,0,259,1133,14360,1080,6979,0
H25887,35,248,5888,0,11,1825,14025,1213,473,1
H27317,10,67,17011,0,7,196,6270,89,43,0
H26773,9,96,10296,0,4,592,3211,2186,155,0
H28001,12,379,12702,0,0,917,12214,591,2293,0
H18328,3,28,7132,20,0,43,2925,579,486,0
H27405,2,180,16561,0,0,328,9302,118,7857,0
H27138,2,40,11155,0,9,218,7435,5886,80,0
H26596,6,132,6720,0,130,592,2687,218,390,0
H26697,8,126,5868,3,0,479,7653,8,1682,0
H18271,18,1761,5780,0,200,2231,10685,326,315,0
H31091,2,215,7100,50,57,154,5585,989,1173,0
H21553,4,102,6264,3,45,327,4396,317,1779,0
H26591,0,1,3631,8,0,285,2893,6,1551,0
H18099,24,148,2929,0,119,362,6513,1369,3377,0
H25810,1,34,6866,0,14,164,4379,608,291,0
H28007,26,94,904,0,0,468,13656,80,39,0
H27336,4,44,7663,2,103,600,18431,4102,127,0
H32810,46,1213,5805,0,4,1591,7670,1717,145,0
H28050,14,208,2256,54,2,1996,19603,1194,3859,0
H27319,1,9,7798,0,3,252,7667,520,2746,0
H21542,13,65,11314,18,34,661,14490,671,540,0
H26615,9,102,1571,8,12,577,4360,518,23,1
H25751,4,324,10561,0,0,255,6861,997,1833,0
H21534,5,91,2125,0,5,297,2789,4,3061,1
H26786,13,683,1635,0,9,733,6303,255,1626,0
H18134,8,454,5808,0,0,1553,8623,1058,989,0
H31093,0,135,6471,19,75,528,5849,217,1584,0
H25992,3,52,5625,33,383,533,5935,317,103,0
H26061,7,74,7047,1,0,209,2566,26,2454,0
H26603,3,223,3162,0,9,25,3527,48,1264,0
H27105,0,5,8642,0,189,122,4881,2807,2251,0
H26625,1,18,4227,18,0,114,2873,373,395,0
H28016,24,1240,4811,139,0,795,15730,749,3009,0
H26720,39,16,1503,0,0,207,3220,1232,323,0
H30932,16,161,5941,6,0,2661,11621,90,3564,0
H26729,13,24,3935,0,7,30,6281,2355,25,0
H25942,3,79,15418,0,0,356,11846,926,370,0
H18255,3,194,5983,105,85,506,8717,1335,861,0
H26850,17,275,3119,685,32,3030,6214,768,5024,0
H26621,1,22,1979,4,4,493,4852,187,175,0
H26590,5,303,4642,0,38,998,1915,66,1793,0
H18209,0,140,12018,5,101,943,9791,787,308,0
H31050,35,719,14656,0,53,629,9943,173,186,0
H31024,34,1186,20705,0,32,463,8590,2285,403,0
H25808,2,179,7385,0,113,86,3455,487,1229,0
H34112,17,180,7711,0,0,1902,7754,3871,1581,1
H27140,0,7,9378,4,51,676,6759,732,791,0
H26705,1,8,1924,9,7,1790,6327,586,29,0
H26744,15,397,4401,0,15,457,4390,78,8760,1
H25758,57,273,12649,0,388,58,4811,1680,7010,0
H26034,6,36,9265,27,28,1603,5281,2,5802,0
H27172,1,81,12871,14,161,357,6064,666,1669,0
H25971,23,1109,13972,0,34,2047,10191,40,5701,0
H27438,122,881,393,0,0,7631,2583,309,5704,0
H27290,3,135,6079,0,0,1523,9705,2172,12645,0
H25939,12,246,9731,0,0,1362,10438,10801,5102,0
H27373,12,535,2993,0,1,1770,20304,8470,2579,0
H26919,0,6,7037,0,0,60,3493,838,37,0
H27077,0,101,14793,103,178,836,8326,1970,4101,0
H18360,7,49,6180,13,222,482,2738,627,208,0
H32787,20,544,8070,8,0,579,8325,658,4697,0
H18274,0,216,8637,0,17,2833,7048,117,143,0
H21550,1,241,4429,8,15,322,7189,360,1301,0
H27163,3,175,10992,0,0,1116,9251,736,1656,0
H25978,11,419,15043,0,6,832,12533,2493,1704,0
H25791,2,18,7820,0,2,396,8867,2603,317,0
H18143,2,226,7186,0,96,269,3777,878,161,0
H26113,4,92,5677,0,143,432,7694,893,42,0
H26699,9,210,386,0,11,241,6135,2543,1388,0
H25836,3,91,8811,1,32,991,8325,1594,1169,0
H30957,24,283,1096,43,191,879,17092,183,1233,0
H27369,4,187,11200,3,102,2952,11883,790,867,0
H21557,17,283,1127,0,6,753,6886,359,84,1
H27411,14,198,12519,1,47,904,13974,366,2442,0
H25972,4,129,7187,0,44,725,12435,4943,394,0
H27233,1,329,13049,0,20,144,8060,2914,2004,0
H18225,10,148,7714,0,0,59,2988,8807,2702,0
H27263,9,156,10733,6,41,577,12201,1843,264,0
H25841,3,523,8048,0,0,38,4486,2059,67,0
H18157,4,163,6340,0,0,288,3345,298,120,0
H27986,7,247,16459,0,6,691,5457,3899,478,0
H25777,3,89,7416,0,53,249,6266,1298,1781,0
H18286,31,387,9143,0,14,528,4644,1538,2248,0
H18252,22,4,7498,0,0,196,2525,0,10787,0
H30937,31,1100,7225,17,9,2474,9514,123,10996,0
H25995,57,288,6870,0,0,8065,22065,363,2105,0
H26701,9,106,5131,0,67,84,4653,3574,792,0
H30931,36,231,2476,9,24,14359,7848,133,264,0
H27129,2,121,2477,0,0,783,20344,40,642,0
H26854,0,37,5555,205,19,1626,3450,56,847,0
H27295,1,1016,10150,0,29,970,12518,6923,503,0
H32826,20,840,711,0,0,3138,6149,21,40,0
H27399,0,172,10704,0,13,1339,11815,373,43,0
H27148,2,178,12707,0,22,131,6503,5798,485,0
H29009,51,2288,6790,0,101,487,10374,2032,406,0
H25990,3,85,9461,24,0,449,12390,18,4787,1
H18272,2,759,13049,0,11,340,8189,737,782,0
H18302,17,1213,2722,0,85,1328,7302,329,117,0
H27282,30,180,8476,0,63,2051,12639,2251,5179,0
H18191,4,25,6928,17,76,771,5627,950,2599,0
H27402,74,1846,6775,1,67,717,18377,8790,3126,0
H26897,4,26,5592,1,7,566,3648,1498,527,0
H27074,20,224,10513,0,97,979,8704,1203,759,0
H26718,1,115,5454,0,7,110,5628,932,63,0
H26613,14,55,5274,0,316,700,2567,585,1061,0
H25798,1,229,9521,0,3,252,3694,10273,118,0
H18288,9,193,2662,0,6,440,8426,163,416,0
H27131,20,198,4502,1,121,328,12186,3564,3691,0
H21565,10,252,7449,4,4,508,8383,1255,591,0
H27246,13,110,7216,0,2928,576,6261,834,4240,0
H27242,3,54,7364,0,11,41,3140,1461,4355,0
H26571,2,106,4873,0,33,183,4407,1628,1331,0
H26848,1,14,4108,390,5,581,2551,320,170,0
H27394,29,861,5439,0,5,2001,12885,2807,219,0
H34113,68,373,5666,128,2,1735,12533,387,305,1
H18390,4,315,9455,0,0,813,7197,1759,108,0
H27437,1,100,12386,0,24,172,9429,2529,1031,0
H26063,18,390,5591,0,24,297,6717,285,2243,0
H26777,2,228,2731,0,0,102,1741,1009,16129,1
H27980,0,130,4412,0,11,1288,11333,2072,436,0
H26037,14,1342,3054,0,165,527,6373,4571,351,0
H26062,8,25,8266,6,30,81,2393,416,249,0
H27169,1,20,6886,1,154,93,2987,948,2920,0
H25857,9,518,12649,0,47,152,7190,693,1964,0
H26949,5,205,8175,0,2,514,6302,1355,525,0
H25948,23,718,11909,0,40,254,7413,1172,3461,0
H25975,34,1411,5979,0,22,343,8853,243,139,0
H18382,11,208,6175,0,494,126,3759,2681,677,0
H18094,8,501,7906,1,76,457,5348,422,629,0
H27436,4,126,5163,0,102,1242,11674,4186,118,0
H26908,5,52,4851,4,18,266,4805,917,113,0
H28011,106,0,16722,0,0,3162,2503,78,13685,0
H27929,2,65,4057,0,2,365,4346,563,1974,0
H27116,5,57,11567,0,280,377,4458,7437,4010,0
H27398,11,106,15040,0,9,1001,9133,380,755,0
H18340,2,450,6739,1,10,957,7087,925,200,0
H26926,0,19,5626,0,56,177,3516,235,944,0
H26686,1,46,5173,0,28,754,7599,1064,1113,0
H25801,21,836,9777,0,0,1077,6303,695,4325,0
H27171,7,144,13699,15,101,1711,4775,952,8360,0
H18203,5,125,7779,3,127,323,8115,1733,143,0
H27991,1,57,2600,4,0,291,8305,1720,102,0
H27078,8,144,9217,29,172,602,6817,2336,7899,0
H26092,6,78,7072,0,76,813,3261,824,320,0
H34119,15,390,3194,99,1,3296,7524,4712,267,0
H18250,5,266,8230,81,0,269,14287,1728,399,1
H26684,10,27,9377,0,39,44,4730,2302,3418,0
H27120,6,254,8693,0,80,287,10593,4234,1199,0
H18174,14,23,7757,0,166,325,4515,5348,226,0
H31126,0,33,12138,821,1,268,4695,2399,1602,0
H25951,12,54,8488,0,0,346,6162,1985,1264,0
H25883,19,101,7611,0,135,704,9588,10391,200,0
H27220,4,23,9843,0,47,512,8749,1126,552,0
H18182,3,348,6642,0,8,47,6001,528,764,0
H26780,1,93,7931,41,582,294,3808,113,2041,0
H32727,16,410,4899,0,0,8381,7646,3129,92,1
H27091,10,227,7386,0,4,5416,13134,507,328,1
H27915,3,77,10179,0,23,145,5626,225,27,0
H21545,18,113,8433,507,80,270,5387,282,435,0
H18124,6,192,7960,14,156,741,5291,414,238,0
H32915,34,3290,9667,0,10,2619,10681,562,14053,0
H25796,5,104,6986,0,1,460,7640,1641,1537,0
H26876,1,5,4023,0,1,89,1608,2615,9023,0
H18149,4,86,5230,0,0,815,3937,2097,979,0
H27087,6,141,10527,0,36,651,6075,3631,2077,0
H27414,4,69,7716,3,52,1289,11511,63,378,0
H26917,5,13,5358,1,0,141,3370,3123,236,0
H30956,6,17,3121,0,3,6957,2715,12,21224,0
H25818,3,146,18128,0,0,1555,8565,4151,2160,0
H26756,9,196,5504,1,457,1717,7974,627,199,0
H32824,27,1098,1013,0,78,4471,7500,6,899,0
H27376,1,71,17129,15,2,199,7665,1196,4203,0
H26065,19,518,5637,29,24,1157,6611,90,125,0
H18240,13,235,1801,0,1179,1036,12783,11231,199,1
H18219,19,1105,6273,0,6,772,5411,60,4535,0
H18223,13,63,6717,6,51,366,10706,7367,666,0
H26947,4,34,8834,0,13,64,5894,2473,1752,0
H25771,23,660,6141,0,40,1297,8531,720,517,0
H27898,0,91,8510,66,8,629,7370,136,113,0
H26024,24,189,4132,0,2,677,4271,145,3799,0
H26809,1,65,5648,6,17,420,5078,2011,472,0
H21563,13,224,2784,0,6,1424,9787,152,670,0
H31002,2,167,9925,10,103,382,8119,283,1327,0
H26776,3,33,5688,2,38,260,5639,771,2011,0
H18381,2,101,7121,8,3,250,3167,296,218,0
H18237,1,134,10551,0,2,836,5628,924,2441,0
H18140,41,392,7245,19,242,1068,5152,362,949,0
H21552,25,344,6042,0,5,972,11090,233,112,0
H25786,12,304,4929,0,140,1640,5109,1595,339,0
H21531,6,92,1196,0,22,76,3015,412,4144,0
H27221,5,86,8437,0,112,529,6478,2199,462,0
H26042,4,29,4090,0,10,842,6127,5488,99,0
H28998,43,773,6529,27,2,3497,12712,7723,72,0
H27255,6,58,9560,0,0,1155,6019,4157,5992,0
H27264,2,110,13008,3,0,472,11237,257,408,0
H25922,39,23,8295,0,0,84,1860,6441,593,0
H26915,6,51,6651,0,0,442,3490,511,2516,0
H32780,7,314,7165,2,14,1012,10318,2731,1396,0
H27072,0,126,4055,0,61,3698,10559,3024,7459,0
H26834,2,418,122,0,0,508,8761,450,1790,0
H25982,9,47,3757,1,38,6964,9434,1365,34,0
H27127,12,202,13239,0,199,477,7856,3959,5395,1
H27949,2,18,11900,0,140,246,6757,728,4944,0
H27308,1,77,11211,35,10,1500,8118,3023,889,0
H18246,1,155,9281,0,1,401,9461,789,3436,0
H27913,14,897,10925,0,28,445,9089,8139,570,0
H31020,18,688,9838,0,203,782,5914,598,221,0
H27914,0,6,2263,0,11,39,3181,685,1677,0
H26076,3,30,7892,3,372,316,6453,4604,701,0
H27155,2,133,14845,0,386,312,6629,161,3804,0
H25920,3,54,4612,17,5,296,3743,1332,29,0
H27428,3,109,9832,0,3,615,4643,10692,39,1
H28046,75,3138,3303,0,8,1895,10701,96,90,1
H26585,2,179,2024,0,1,904,4104,31,505,0
H18144,7,223,5395,0,2051,582,3226,622,3268,0
H27435,14,57,3336,6,0,191,3844,2510,27200,0
H27302,4,0,13042,0,21,137,2741,920,998,0
H26704,0,208,3666,0,1,302,5429,775,2501,0
H21556,7,153,7720,0,205,420,4914,220,53,0
H18172,4,237,5155,0,62,552,9709,37,501,0
H27144,16,59,10710,0,3,459,7583,4377,9226,0
H18185,18,88,8231,0,67,801,4798,2221,966,0
H25740,7,78,4888,3,22,339,5237,394,6119,0
H31079,0,134,8373,0,6,356,4933,580,621,0
H25799,20,671,8628,0,213,150,6961,1658,1553,0
H26865,6,105,4249,6,6,61,3530,335,3817,0
H28000,1,71,14342,6,6,460,8827,678,124,0
H26752,7,105,7207,0,1,524,3425,185,144,0
H18177,7,429,5954,14,15,665,7625,843,325,0
H31150,7,586,10549,0,0,362,8102,209,288,0
H27176,1,281,16540,0,63,389,5712,582,1953,0
H25889,7,215,10005,533,179,673,10702,2091,4132,0
H27204,52,1348,5958,14,104,344,11549,366,28,1
H27931,3,24,9657,0,66,1242,5054,1441,8420,0
H26860,1,8,7835,0,0,14,1852,377,793,0
H26028,0,327,7582,0,1,63,6790,25,25,0
H18372,3,248,11091,0,266,285,4346,693,498,0
H27999,37,1117,11453,0,14,732,26808,819,780,0
H26774,9,517,5413,0,2,320,3159,2689,345,1
H18373,1,51,8040,0,25,327,5263,1225,703,0
H27175,4,2091,6574,0,202,3576,13749,601,1181,1
H34111,4,365,2515,18,3,1102,9650,1877,1769,0
H27085,12,117,9988,0,48,592,6868,105,2951,0
H27423,5,45,15316,0,42,311,10331,1182,138,0
H25805,9,392,6594,0,19,255,9453,1178,473,0
H27429,1,495,6539,256,0,144,11354,9754,3769,0
H26764,10,722,3591,0,12,387,7565,49,1561,1
H26713,0,44,6165,0,5,551,3515,1035,210,0
H25973,9,555,6606,0,45,2064,6493,230,48,0
H30980,8,245,7407,6,35,947,4807,366,744,0
H26950,2,102,4222,0,59,270,9831,290,114,0
H21544,0,3,5737,0,0,1200,5702,4855,167,0
H26853,11,209,6029,0,16,249,3022,81,708,0
H26066,5,172,3818,0,0,503,9552,2613,224,0
H26685,8,44,7472,0,24,51,3492,796,1230,0
H18325,7,508,5821,0,324,341,5611,2271,2795,0
H27210,8,207,7083,17,15,2126,9767,92,4218,0
H27076,42,265,7170,0,0,1103,11886,7372,5271,1
H18186,18,343,4382,18,117,388,8404,153,265,0
H18253,12,406,6065,30,20,568,4019,153,1819,0
H27384,9,384,6862,195,41,2332,9268,4759,1063,0
H18213,11,410,3162,0,62,2084,6275,274,194,0
H25886,15,190,14661,16,209,2022,8990,2381,1676,0
H25748,17,400,3226,204,5,326,10082,8370,1949,0
